Pile Dia. (m),%Conc. Wastage,Use Rebar,Weight (kg/m),use length (m),Weight/piece (kg),Exact Length (m),Special Add/cage,casing length,casing+soil thk,overcast,overdrill
0.35,25,DB12,0.888,0.5,0.444,0.470973416,0,15,0.032,1.75,0.3
0.4,25,DB12,0.888,0.67,0.59496,0.628053048,0,15,0.032,1.75,0.3
0.5,23,DB12,0.888,1,0.888,0.942212314,0,15,0.032,1.75,0.3
0.6,20,DB12,0.888,1.5,1.332,1.256371579,0,15,0.032,1.75,0.3
0.8,15,DB16,1.578,2,3.156,1.88469011,0,15,0.032,1.75,0.3
1,10,DB16,1.578,2.5,3.945,2.51300864,0,15,0.032,1.75,0.3
1.2,9,DB16,1.578,3.33,5.25474,3.141327171,0,15,0.032,1.75,0.3
1.35,9,DB16,1.578,4,6.312,3.612566069,3,15,0.032,1.75,0.3
1.5,8,DB20,2.466,4,9.864,4.083804967,0,15,0.036,1.75,0.3
1.65,8,DB20,2.466,5,12.33,4.555043865,1,15,0.036,1.75,0.3
1.8,8,DB20,2.466,5,12.33,5.026282763,1,15,0.036,1.75,0.3
2,8,DB20,2.466,6,14.796,5.654601294,3,15,0.036,1.75,0.3
